game_id,platform_id,sales_units_in_millions
1856,PSV,0.02
1856,X360,0.03
1856,PS4,0.06
1856,PS3,0.06
1856,XOne,0.02
1856,PC,0.01
3186,PS4,0.26
27651,3DS,0.32
27984,WiiU,3.21
8098,XOne,1.8
43350,X360,0.35
43350,PS4,1.93
43350,PS3,0.37
43350,XOne,1.19
43358,PS4,0.79
43358,XOne,0.11
43358,PC,0.04
43358,PS3,0.4
43358,X360,0.1
3129,PC,0.05
3129,PS4,0.07
27986,3DS,3.05
3154,PS4,3.88
3154,PS3,0.74
3154,XOne,2.34
3154,X360,0.94
3154,PC,0.1
2956,X360,0.07
2956,PS3,0.06
2956,PS4,0.21
2956,XOne,0.12
17283,PC,0.09
3156,PSV,0.32
2612,PS4,0.06
12320,XOne,0.01
12320,PS4,0.03
27987,3DS,0.24
15916,PC,0.09
15916,PS4,0.69
15916,PS3,0.69
15916,X360,0.88
15916,XOne,0.56
42895,PC,0.21
42895,XOne,1.3
42895,PS4,3.39
3127,3DS,0.05
27662,3DS,0.25
2459,PSV,0.09
27989,WiiU,1.3
2271,PS3,0.27
2271,PS4,0.86
2271,XOne,0.55
2271,X360,0.23
2271,WiiU,0.19
3117,PS4,0.36
3117,WiiU,0.57
3117,Wii,0.95
3117,PS3,0.19
3117,XOne,0.32
3117,X360,0.32
23900,WiiU,0.11
3062,PS4,0.03
27991,3DS,1.12
8444,XOne,4.48
3107,PS4,0.06
3107,XOne,0.03
3111,XOne,0.59
3111,PS4,1.21
3111,X360,0.43
3111,PS3,0.51
17282,PC,0.25
3080,3DS,0.03
3080,Wii,0.03
3080,WiiU,0.01
2134,PS4,0.07
3070,PS4,7.16
3070,XOne,4.22
3070,PC,1.29
7689,X360,0.32
7689,XOne,1.38
7689,PC,0.12
7689,PS4,0.94
15945,X360,0.02
27994,WiiU,0.41
43440,PC,0.35
14963,PS,0.07
27683,3DS,0.24
3051,Wii,0.01
3051,3DS,0.04
3051,PS3,0.04
3051,X360,0.02
2309,PS4,0.07
2309,PSV,0.06
13070,PS3,0.03
13070,PSV,0.06
13070,PS4,0.12
1709,PS4,0.06
1709,PS3,0.03
3017,XOne,0.9
3017,PC,0.14
3017,PS4,1.86
23756,WiiU,0.84
2572,XOne,0.12
2572,PS4,0.37
2572,PC,0.03
2855,PS3,0.01
2855,PS4,0.04
2952,PS2,0.14
23754,3DS,0.03
23754,PS3,0.02
23754,X360,0.02
1014,PSV,0.06
1014,PS4,0.04
2203,PS4,0.02
2564,PS2,0.18
44525,PS3,0.12
44525,PS4,0.16
23758,3DS,0.76
2866,PS4,0.73
2866,WiiU,0.24
2866,PSV,0.12
2866,X360,0.32
2866,XOne,0.35
2866,PS3,0.27
2866,3DS,0.19
23775,3DS,0.54
2848,PS4,0.13
1256,PC,0.23
1256,PS4,0.14
1256,XOne,0.05
2818,PS,1.0
2818,PSP,0.03
330884,PSV,0.07
330884,XOne,0.01
330884,PS4,0.09
2519,XOne,0.01
2519,X360,0.02
2519,PS4,0.04
2519,PS3,0.03
2805,PC,0.06
2805,PS4,0.9
10717,PC,0.03
24182,WiiU,1.03
2662,PS4,0.02
6617,PC,0.02
6617,XOne,0.56
2551,PC,0.07
2551,PS4,1.65
2551,XOne,0.39
2553,PS4,1.54
28000,3DS,0.49
2384,XOne,0.06
2384,PS4,0.35
2384,PSV,0.1
2468,XOne,0.15
2468,PC,0.08
2468,PS4,0.26
10040,PC,0.04
2422,PC,0.04
2422,PS4,0.35
2422,XOne,0.14
2424,PS2,0.32
10247,PSV,0.01
17684,PS4,0.02
1601,PSV,0.01
9845,PC,0.13
22508,PS4,2.14
22508,PC,0.53
22508,XOne,1.06
43576,PS4,0.09
43576,X360,0.04
43576,XOne,0.04
43576,PS3,0.05
10715,PC,0.05
2354,PC,0.06
2354,XOne,0.16
